Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhirtesting.json	5514	-	0	0	1	0	0	0	3	101	0	0	0	0	0	0	0	0	0	0	73	50	0	0	0	1	0	0
fsh-generated/resources/Binary-ghript-measure.json	131	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Binary-ghript-simple.json	129	19	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Binary-ghript-summary.json	131	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-TestPlanExecute.json	875	25	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-testplan-bundle.json	2331	18	0	0	0	0	0	156	0	113	0	0	1	0	0	0	0	3	0	0	804	3921	0	1	0	22	1	2
fsh-generated/resources/TestPlan-testplan0.json	597	21	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	1	0	0
fsh-generated/resources/TestPlan-testplan1.json	1265	15	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
input/examples/Bundle-testbundle0.json	5403	21	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0	0	0
input/examples/Bundle-testbundle1.json	5423	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0
